profile_id,username,profile_description,profile_summary,post_caption,post_summary,posted_at
"4185958219","knhs2","The creator is an influencer who focuses on fashion and lifestyle content, often featuring sponsored advertisements for various brands. Their posts showcase outfits, accessories, and experiences, with a particular emphasis on fashion collaborations and seasonal styles. The content includes promotions for brands like MLB Korea, Beanpole, and Louis Vuitton, as well as travel diaries and beauty products. The creator's aesthetic is generally bright, youthful, and casual, with a focus on high-quality photography and engaging poses. They often incorporate themes related to fashion trends, daily looks, and lifestyle activities such as visiting amusement parks or music festivals.","A fashion and lifestyle influencer showcasing sponsored content and daily trends with a youthful and casual aesthetic.","어딜가든 홀리데이 분위기 낭낭한 12월 🎄✨ 
예쁜 셋업 맞춰입고 왔지요 *＊
착장은 @ivanahelsinki_kr 🤎","This Instagram post showcases a holiday-themed outfit featuring a matching set from the brand @ivanahelsinki_kr. The primary subject is the influencer wearing a houndstooth blazer and coordinating top, suitable for December outings. The post targets a fashion-conscious audience seeking winter outfit inspiration for festive occasions.

The styling highlights a classic blazer silhouette, paired with a sophisticated pattern, aligning with timeless fashion trends. The overall aesthetic suggests a blend of elegance and comfort, perfect for casual holiday gatherings. The post's market positioning aims at the mid-range to premium segment, appealing to consumers valuing quality and design.

The photography uses natural lighting, creating a warm and inviting atmosphere, enhancing the holiday mood. The composition features a close-up shot of the influencer, focusing on the outfit and the setting, with a Christmas tree in the background. The content format is a standard image post, promoting a brand collaboration through outfit presentation.","2023-12-02 12:55:50"
"631019071","_hwoniii","This creator is a lifestyle and fashion influencer who shares travel diaries, beauty tutorials, and sponsored content. They focus on aesthetics, natural beauty, and current fashion trends, often featuring beach destinations and serene nature scenes. The creator primarily uses Instagram and YouTube, with a strong emphasis on visual storytelling and product promotion, particularly in beauty and fashion categories. Their content includes sponsored posts for brands like Lebane_official and Holika Holika, as well as promoting their YouTube vlogs. The creator appears to be based in a region where Korean is spoken, given the language used in some post summaries and the nature of the brands promoted.","A lifestyle and fashion creator sharing travel, beauty, and sponsored content with an emphasis on aesthetics and current trends.","#gift @ivanahelsinki_kr ☁️☁️","The post showcases a casual summer outfit featuring a white dress with a blue collar, likely from the brand Ivana Helsinki. The dress is styled in a simple, feminine manner, suitable for a daytime outdoor setting. The target audience appears to be young women interested in classic and preppy fashion styles.

The outfit aligns with current trends emphasizing minimalist design and accessible luxury. The overall aesthetic presents a clean and fresh look, reflecting a focus on timeless elegance. The brand collaboration suggests a sponsored post, leveraging influencer marketing for brand visibility.

The photography uses natural lighting and a serene outdoor backdrop. The poses are gentle and relaxed, enhancing the overall light and airy feel of the presentation. The composition and framing are well-executed, creating a visually appealing and professional presentation.","2022-05-04 09:11:42"
"1419052794","bh.e","bh.e is a verified female influencer from South Korea, primarily communicating in Korean. Her online persona revolves around fashion, lifestyle, travel, and daily experiences, often featuring her cat, Fox. Her content predominantly consists of outfit showcases, styling tips (e.g., how to wear scarves), and lookbook-style presentations, including sponsored posts for fashion brands like Aebly and shopcider_kr. She shares personal moments such as birthday celebrations and seasonal activities like building a snowman. Travel vlogs and food reviews, particularly from her trips to Japan (e.g., Sapporo, Komeda Coffee), are also common themes. Notable patterns include frequent use of carousel posts, high-quality visuals with an aesthetic focus, and engaging, relatable captions. Her external YouTube channel complements her social media presence and was found to be safe. Demographically, she appears to be a young adult. The content indicates a focus on personal brand building through original content creation.","South Korean influencer sharing fashion, lifestyle, travel, and daily experiences with an aesthetic focus.","올해 첫 호캉스🥂
따땃해지면 더 많이 가야지…💛

코트 : @jennyberryofficial - 아베크 트렌치
투피스 : @ivanahelsinki_kr 
수영복 : @wannabiki_official","The Instagram post showcases a fashion and lifestyle content, featuring outfit details and a hotel stay in Seoul. The content includes a beige trench coat from Jenny Berry Official, a two-piece set from Ivana Helsinki, and a swimsuit from Wannabiki Official. The post targets a fashion-conscious audience interested in travel and lifestyle content.

The post highlights a casual-chic aesthetic, showcasing a blend of comfort and style in a hotel setting. The styling incorporates layering with a trench coat, and the use of a swimsuit suggests a resort-style theme. The overall aesthetic aligns with current fashion trends of elegant relaxation.

The photography quality is high, with good lighting and composition, enhancing the visual appeal. The images effectively portray the lifestyle, with food and hotel room settings. The post utilizes a casual and inviting tone, encouraging engagement with a focus on the hotel experience.","2022-03-13 10:19:41"
"29675291527","candyz_hyojung","Hyojung is a content creator who shares her travel experiences, fashion, and lifestyle content with her followers. She documents solo trips to various destinations, including Kamakura, Japan, and Ho Chi Minh City, Vietnam, showcasing local sights, food, and cultural experiences. Her fashion content focuses on daily looks and outfit coordination, often featuring bright and cheerful aesthetics. Hyojung also engages in sponsored content, such as promoting beverages like Lotte Chilsung's ""2% Plum."" Her posts are characterized by a positive and humorous tone, with high-quality visuals and relatable content. She appears to be of East Asian ethnicity, likely Korean given her username and associated K-pop group, and is likely an adult.","Hyojung is a creator sharing travel, fashion, and lifestyle content, known for her bright and humorous personal vlogs and outfit showcases.","🩷🐰🌸🌷","1.  **Post Summary:** This Instagram post showcases a series of images featuring a woman wearing a light pink, two-piece outfit. The post is a carousel, presenting different settings and poses, all emphasizing the outfit. The caption consists of a few emojis, suggesting a bright and cheerful vibe.

2.  **Categorical Implications in the Fashion & Style field:** The content falls under the ""Daily Look"" and ""Outfit Coordination"" subcategories within the Fashion & Style field. The post targets fashion enthusiasts by presenting a coordinated outfit suitable for various occasions. The use of emojis in the caption contributes to the bright and humorous tone, which can attract a wider audience.

3.  **Visual Analysis Summary:** The quality of the photography is good, with each image well-lit and composed. The color scheme is consistent, with a focus on the soft pink of the outfit, and the backgrounds complement the outfit without distracting from it. The model's poses and expressions convey a sense of confidence and playfulness. The outfit consists of a short-sleeved top with button detailing and a matching mini skirt, creating a cohesive and stylish look. The styling is simple yet effective, allowing the outfit's color and silhouette to take center stage.","2025-06-02 13:29:39"
"51156351031","bellltia","This is a profile of Hyun Young, a Korean musician and lifestyle influencer. She shares a variety of content including beauty and makeup tutorials, travel experiences in scenic locations like Bangkok, and fashion posts, often featuring luxury brands. Her content also includes food reviews, showcasing trendy cafes and restaurants, with a particular emphasis on visually appealing presentations. Hyun Young engages her audience with a hip and trendy tone, often sharing glimpses of her daily life and experiences in Seoul and other travel destinations. Her posts are characterized by high-quality photography and a focus on aesthetic appeal, making her a relatable figure for those interested in beauty, fashion, travel, and lifestyle content.","A Korean musician and lifestyle influencer sharing beauty, fashion, travel, and dining content with a trendy aesthetic.","","The carousel post showcases multiple images featuring a young woman in swimwear and evening attire within the urban and resort settings of Bangkok, Thailand. Visuals include a hotel bathroom, poolside relaxation, and a rooftop bar overlooking the city skyline, emphasizing a trendy and aspirational lifestyle. The content appears to be organic, focusing on personal experiences rather than explicit brand promotion, and aims to resonate with lifestyle enthusiasts seeking travel inspiration. From a hospitality perspective, this content effectively highlights leisure activities and city nightlife, potentially driving bookings for hotels and resorts in Bangkok. The professional quality of the photography and the influencer's presentation suggest a strong understanding of visual storytelling relevant to the travel market.","2025-04-20 08:20:45"
"4204189249","pinkjjelly","This creator is a model and beauty influencer who shares beauty secrets, focusing on skincare and fashion. They are based in South Korea and primarily create content in Korean. Their posts often feature sponsored reviews of beauty products, including sunscreens, serums, and mask packs, with an emphasis on skincare routines for different seasons and achieving a healthy, glowing complexion. They also share fashion content, including outfit inspiration and seasonal trends. The creator","A South Korean model and beauty creator sharing skincare and fashion tips.","핀란드 대표 디자이너 브랜드 @ivanahelsinki_kr 
22 Summew Resort Collection 프라이빗 프리뷰에 
초청되어 다녀왔어요💌 찬란한 색감과 디텍터 파올라수호넨이 
직접 압화한 플라워프린트로 이바나헬싱키만의 무드가
가득 담긴, 올 여름 설레는 여행지가 떠오르는듯 
살랑살랑한 디자인들이였어요💕 
저도 선주문 하고 왔는데 다 예뻐서 정말 고민스러웠던.｡o♡ 
초대해주셔서 감사합니다:) thanks to #이바나헬싱키 
#ivanahelsinki *시간 당 한팀만을 초대하는 프라이빗 행사로 
방역수칙을 지켜 방문 하였습니다.","This Instagram post showcases a private preview of the Ivana Helsinki 22 Summer Resort Collection. The post features various floral print dresses and accessories, promoting the Finnish designer brand. The focus is on the designer's unique aesthetic, including pressed flower prints.

The collection's designs, including dresses and accessories, evoke a summer travel theme. The styling combines feminine silhouettes with vibrant colors, appealing to a target audience interested in resort wear. The brand's collaboration is highlighted through the influencer's experience.

The fashion industry sees a trend of resort wear and floral prints for the summer season. Ivana Helsinki's collection aligns with this trend, featuring unique floral patterns and a focus on the brand's identity. The post positions the brand within the luxury fashion market.

The visual elements include high-quality photography with bright, airy lighting. The composition focuses on the model showcasing the clothing within a curated setting. The promotional content is evident through the influencer's personal endorsement.","2022-05-04 02:27:32"
"1745181543","ming._.ee","ming._.ee is a South Korean female influencer whose content primarily focuses on fashion, beauty, travel, and lifestyle. Her online persona is aesthetically driven, often featuring light and pastel color palettes in her fashion and travel posts. As an ambassador for @graceu_official, she frequently showcases their collections in sponsored contexts, including seasonal wear and special event outfits. Her posts also include promotions for beauty products from brands like Dior and 2an_official. Travel content features destinations such as Samcheok, South Korea, and Kyoto, Japan, highlighting picturesque locations. Food and dining experiences complement her lifestyle content. The visual quality of her posts is generally high, with well-composed, professional-looking images, especially in sponsored content and modeling-style headshots. Her biography confirms her ambassador role and provides a professional contact email, signaling her focus on brand collaborations. Based on visual cues, she appears to be a young adult, and her primary language is Korean.","South Korean influencer showcasing feminine fashion, beauty products, and picturesque travel experiences through aesthetically pleasing lifestyle content and brand collaborations.","겨울 어서와 ☃️🤍💙
@ivanahelsinki_kr 

#겨울셋업 #트위드셋업 #이바나헬싱키","The Instagram post showcases a winter-themed tweed set from Ivana Helsinki, targeting fashion-conscious women. The outfit features a cropped jacket and a midi skirt, styled with a contrasting black bow, suitable for the season. The styling highlights a classic silhouette, reflecting timeless elegance and sophisticated charm for the target audience. The brand leverages the winter season with the tweed set, aligning with current fashion trends. The post employs a soft, natural light, emphasizing the texture of the tweed set and location. The series of images offers a complete look, with high-quality photography and professional styling.","2023-11-21 05:12:59"
"1830973190","hyuniverse___","The profile belongs to hyuniverse___, a female creator primarily based in South Korea, communicating in Korean. Her content focuses on fashion, beauty, lifestyle, and travel, frequently featuring sponsored collaborations with brands such as Andaz Seoul Gangnam, Blossom H Company, Sisley, and Sergio Taccini. Post summaries detail her experiences at luxury dining venues, fashion pop-ups, and beauty events, alongside makeup tutorials and showcases of new apparel collections. She also shares travel content, like a trip to Shanghai, and recommendations for local cafes and shops in Seoul. A notable portion of her content includes professional-style photoshoots and 'test cuts,' suggesting modeling activities or portfolio development. Her visual presentation is consistently high-quality, aesthetically pleasing, and aligns with contemporary trends. The external URL directs to a KakaoTalk open chat, likely utilized for communication or professional inquiries. Her online persona is that of a stylish influencer and model.","South Korean creator and model showcasing fashion, beauty, lifestyle, brand collaborations, and travel experiences with a stylish aesthetic.","※ 더이상 그녀에게 먹을 것을 주지 마세요 ※","The Instagram post features various food and drink scenarios, showcasing a woman enjoying different beverages and meals. The images depict the woman drinking wine, beer, and other drinks, implying a focus on alcoholic beverages. The post's caption in Korean humorously suggests she is consuming a lot of food. The content likely targets an audience interested in lifestyle and restaurant experiences.

The first image shows the woman at a restaurant holding a glass of white wine, indicating a fine dining experience. Subsequent photos present beer, and other foods, suggesting a diverse range of dining preferences. The post showcases varied food and drink consumption, reflecting a balanced dietary approach. The overall presentation suggests a relaxed, social setting.

From a food and beverage perspective, the post highlights restaurant culture in Korea, featuring diverse drink options. The images are likely to attract viewers interested in dining experiences. The visual style is casual, emphasizing the woman's enjoyment. The content marketing strategy seems to be focused on lifestyle appeal.

The visual style is consistent throughout the series. The post incorporates a variety of environments, from restaurants to outdoor settings. The post's casual style and clear visuals are likely to appeal to a wide audience.","2025-03-02 04:38:25"
"511156091","meenzu_","meenzu_ is a female Korean influencer whose content primarily focuses on fashion, lifestyle, and travel. Based in Korea and communicating in Korean, she shares her daily life, often showcasing stylish outfits in various settings, including trips to Tokyo and Busan. Her posts frequently feature carousel images with an aesthetic, light, and airy visual style, emphasizing natural lighting and soft color palettes. Common themes include outfit coordination for different seasons (like spring), dining experiences (such as Yakiniku in Tokyo), appreciating flowers, and spending time with pets. She has a significant following of over 200,000. Her biography links to 'flantshop.kr' and her profile also includes a link to 'in-place.shop', both appearing to be online fashion stores. The external URL check confirmed 'in-place.shop' is safe. Her content is generally positive, focusing on personal experiences, fashion choices, and the beauty of everyday moments and travel. The overall persona is that of a fashion-conscious individual sharing her curated life.","Korean fashion and lifestyle creator sharing stylish outfits, travel experiences, and daily life with an aesthetic focus, linked to online fashion shops.","@ivanahelsinki_kr #광고 
하객룩은 블랙만 생각했었는데 핑크도 넘 예쁘네...💗🎀","1) Post Summary

This Instagram post, a carousel featuring multiple images, showcases a light pink, likely satin or silk, midi dress from Ivana Helsinki.  The influencer, meenzu_, is modeling the dress in various poses and settings, highlighting different aspects of the garment.  The caption expresses appreciation for the dress's beauty, particularly its suitability as a guest outfit.

2) Categorical Implications in the Fashion & Style field

The post falls under the ""Clothing Styles"" category, specifically ""Party/Guest Outfits"".  It also touches on ""Women's Fashion"" and ""Fashion Accessories"" (implied by the use of a bow detail).  The use of the hashtag #광고 clearly indicates a sponsored post, promoting the Ivana Helsinki dress.  The target demographic is likely young women interested in trendy, stylish, and elegant party wear.

3) Visual Analysis Summary

The images are well-lit and professionally shot, showcasing the dress's texture and fit effectively.  The composition is balanced, focusing on the model and the dress.  The color palette is soft and pastel, creating a serene and appealing aesthetic.  The model's poses are natural and engaging, drawing attention to the dress's details, such as the back tie and the draped, ruched design.  The background settings are neutral and complement the dress's color, enhancing the overall visual appeal.  The quality of the photography is high, with clear images that effectively communicate the dress's style and design.  The use of multiple images in the carousel format allows for a more comprehensive view of the dress from various angles.
","2025-02-19 11:26:00"
"51156351031","bellltia","This is a profile of Hyun Young, a Korean musician and lifestyle influencer. She shares a variety of content including beauty and makeup tutorials, travel experiences in scenic locations like Bangkok, and fashion posts, often featuring luxury brands. Her content also includes food reviews, showcasing trendy cafes and restaurants, with a particular emphasis on visually appealing presentations. Hyun Young engages her audience with a hip and trendy tone, often sharing glimpses of her daily life and experiences in Seoul and other travel destinations. Her posts are characterized by high-quality photography and a focus on aesthetic appeal, making her a relatable figure for those interested in beauty, fashion, travel, and lifestyle content.","A Korean musician and lifestyle influencer sharing beauty, fashion, travel, and dining content with a trendy aesthetic.","","1) Post Summary: This Instagram carousel showcases a dining experience at Nusara restaurant in Bangkok, Thailand, featuring visually appealing dishes and ambiance shots. The post highlights the restaurant's Michelin recognition, the presentation of the food, and the overall dining atmosphere. The carousel also includes lifestyle shots, suggesting the post is aimed at a trendy audience.

2) Categorical Implications in the Food & Drink field: The content falls under the categories of restaurant reviews, fine dining, and food photography. It presents a curated look at Nusara, emphasizing the visual appeal of the dishes and the restaurant's sophisticated setting. The Michelin Guide recognition further elevates the establishment's prestige. The inclusion of lifestyle shots suggests an emphasis on the experience, appealing to a target audience interested in luxury dining and curated experiences.

3) Visual Analysis Summary: The carousel employs a consistent aesthetic, with well-lit, high-quality images. The first image shows the restaurant entrance, setting the scene. The images of the food demonstrate meticulous plating with a variety of textures and colors. The use of shallow depth of field draws attention to the dishes' details. The inclusion of the influencer in the images, along with shots of the dining room and city views, provides context. The lighting and composition create an inviting atmosphere.","2025-04-18 10:05:37"
